#Years    WideImaging%    DeepImaging%    Prism%    NearbySNe    WideImagingFilters    DeepImagingFilters    WideImagingCadence    DeepImagingCadence    PrismCadence    RubinDDF    ZWide    ZDeep    WideImagingDeg^2    DeepImagingDeg^2    DispersionModel    MeanModelTraining    DistMod.fits                      
0.500     000             000             42        00800        RRZYJHF               ZZYJHF                04                    12                    5               False       0.6      1.2      0                   17                  TwinsLower         True                 all_matrices/cov_mat_0038.fits    
0.500     000             000             42        00800        RRZYJHF               ZZYJHF                04                    12                    5               False       0.6      1.2      0                   17                  NIRLower           True                 all_matrices/cov_mat_0039.fits    
0.500     000             000             42        00800        RRZYJHF               ZZYJHF                04                    12                    5               False       0.6      1.2      0                   17                  NIRLower           False                all_matrices/cov_mat_0040.fits    
0.500     000             000             42        00800        RRZYJHF               ZZYJHF                04                    12                    5               True        0.6      1.2      0                   17                  TwinsLower         True                 all_matrices/cov_mat_0041.fits    
0.500     000             000             42        00800        RRZYJHF               ZZYJHF                04                    12                    5               True        0.6      1.2      0                   17                  NIRLower           True                 all_matrices/cov_mat_0042.fits    
0.500     000             000             42        00800        RRZYJHF               ZZYJHF                04                    12                    5               True        0.6      1.2      0                   17                  NIRLower           False                all_matrices/cov_mat_0043.fits    
0.500     000             000             40        00800        RRZYJH                YYJHF                 04                    12                    5               False       0.3      1.8      0                   12                  TwinsLower         True                 all_matrices/cov_mat_0044.fits    
0.500     000             000             40        00800        RRZYJH                YYJHF                 04                    12                    5               False       0.3      1.8      0                   12                  NIRLower           True                 all_matrices/cov_mat_0045.fits    
0.500     000             000             40        00800        RRZYJH                YYJHF                 04                    12                    5               False       0.3      1.8      0                   12                  NIRLower           False                all_matrices/cov_mat_0046.fits    
0.500     000             000             40        00800        RRZYJH                YYJHF                 04                    12                    5               True        0.3      1.8      0                   12                  TwinsLower         True                 all_matrices/cov_mat_0047.fits    
